step_days,final_capital,profit_pct,bh_profit_pct,sharpe,max_dd_pct,cagr_pct,win_rate_pct,n_trades,n_periods,symbol,lookback
14,12536.68857382597,25.366885738259693,18.7307100249511,3.2139755981837137,0.0,44.764750166726806,54.54545454545454,6,11,AXP,14
21,12202.332069997554,22.023320699975546,20.662211600892967,2.5056560669765267,-4.69458853478919,34.79204408862338,75.0,7,8,AXP,1
14,13081.449609332325,30.81449609332325,24.940967443112605,2.0881791324394396,-5.062720416721234,49.61798754785194,50.0,9,12,AXP,28
28,11935.570337169487,19.355703371694876,17.91609458862673,1.9187304160184713,0.0,30.396148744136052,33.33333333333333,2,6,AXP,14
7,12081.516047150393,20.815160471503937,22.09759077443898,1.8457675768792399,-4.313272210331343,34.44290821589233,34.78260869565217,11,23,AXP,28
14,12573.355520965162,25.733555209651616,24.940967443112605,1.8306857902901752,-5.062720416721234,40.98626117100777,50.0,8,12,AXP,21
7,12387.5842460853,23.875842460852994,17.592033566122932,1.7633605276916624,-6.62101926432176,41.9580174252159,45.45454545454545,15,22,AXP,14
14,11874.901067530192,18.749010675301925,20.042346533749633,1.6808928039213271,-5.4667924288305025,32.47130613017075,54.54545454545454,11,11,AXP,1
7,12082.820598174661,20.828205981746617,20.15988336221004,1.5667293198376346,-7.49913499972108,36.28788841024131,50.0,17,22,AXP,1
28,11862.22210439697,18.622221043969688,19.317071122479447,1.3080663366657523,-6.356856667847821,29.196002749425332,66.66666666666666,6,6,AXP,1
21,10380.876755917341,3.8087675591734094,17.856135992623056,1.2247448713915892,0.0,5.7672110135651655,12.5,1,8,AXP,21
7,11324.028045430712,13.240280454307118,22.09759077443898,1.1279605907020107,-5.6126648917058315,21.485152898158756,34.78260869565217,12,23,AXP,21
21,10905.667484665304,9.056674846653046,17.856135992623056,1.0818480532031134,-5.558992484691294,13.88810789884085,37.5,4,8,AXP,28
14,11077.257087121672,10.772570871216725,15.436424103977743,1.0162074400020131,-5.472511731418606,18.22444772499132,63.63636363636363,10,11,AXP,7
28,11270.519881836997,12.705198818369979,16.59328706302352,0.9789824263976492,-7.251431669947528,19.65088747006991,50.0,5,6,AXP,7
21,10967.044192735118,9.670441927351181,15.125017840253463,0.8762560479584333,-8.092228578132843,14.850896687083125,37.5,5,8,AXP,14
21,11226.096051257424,12.260960512574236,13.151212218826181,0.8174023562462341,-10.418978037731607,18.94416192110697,62.5,8,8,AXP,7
28,10887.15738417348,8.871573841734804,20.90892839756342,0.7370580122039038,-5.484506507554743,13.59827893171326,33.33333333333333,4,6,AXP,21
28,10059.805217484662,0.5980521748466083,20.90892839756342,0.12082123832044322,-5.484506507554743,0.8984181773788125,16.666666666666664,3,6,AXP,28
7,9139.410074798336,-8.605899252016647,6.407157636027505,-0.7025107817492688,-13.608654473505332,-13.692625619896281,40.909090909090914,17,22,AXP,7
1,9249.302985541199,-7.50697014458801,-0.0003380198018154701,-16.244190067788054,-7.414496016678496,-12.135731107986548,0.0,78,152,AXP,1
1,9221.490721545208,-7.7850927845479205,-0.0005670771192178847,-16.55469095316631,-7.7850927845479205,-12.345653561355318,0.0,81,155,AXP,21
1,9249.224485485865,-7.507755145141348,-0.0003430116922942261,-16.582719518662792,-7.507755145141348,-12.365569285488377,0.0,78,149,AXP,14
1,9203.080425766742,-7.96919574233258,-0.0005670771192178847,-16.988975714353323,-7.877183745560023,-12.629988661963642,0.0,83,155,AXP,28
1,9147.996800211302,-8.520031997886978,-0.0008594556389684982,-18.95641551829822,-8.52003199788699,-13.809784417996662,0.0,89,151,AXP,7
