lookback,horizon_step,mape_mean,mae_mean,rmse_mean
1,1,1.3136262015674645,3.8052852746978045,5.395142908225835
7,1,1.84978330817015,5.523503298960014,8.624193187290626
21,1,2.077068409023329,6.161872792086072,9.511706737821335
14,1,2.208859580168018,6.840747656742249,10.607911638842074
28,1,2.4243787868006037,7.2752610679944825,11.189844147230382
1,7,3.644221706612659,10.645033860910138,14.041755131006418
14,7,4.018564431347744,11.99986747912252,16.142994171672264
21,7,4.040589382661119,12.003744438636495,16.039752218641485
7,7,4.103517873022891,12.095300642856857,16.26098561602925
28,7,4.272694659814271,12.987513338718347,17.169198849267598
1,14,5.132127759055693,15.187100966439658,19.471591110934998
14,14,5.59539164970638,16.861462662573764,21.755437916996414
28,14,5.660684837873164,17.326711974904004,22.15466073819282
21,14,5.728397835662034,17.24332523199988,22.039194726026754
7,14,6.258409958939734,18.73887633543815,24.735757601330345
1,21,6.325755820178938,18.678273992815967,23.91325523363595
14,21,7.005210834601328,21.509551228566373,28.356695058028954
28,21,7.066635248023183,21.91249675104711,27.80405149902431
21,21,7.1676061593313785,21.85823446451959,28.031728201139728
1,28,7.471594345505725,22.32759374663605,28.24265099382043
7,21,8.329776604374935,25.361328737817715,34.39852874481115
28,28,8.416511068671879,26.1499685231186,33.40516933726406
14,28,8.44915464114142,26.326508101327843,35.413973789398526
21,28,8.662085230642553,26.748491380907684,34.969381982450756
7,28,10.412297016489248,32.214913880900255,44.80941449032958
